cod;pais;cidade;veiculo;timestamp_resp;genero;renda_familiar;local_residencia;posse_bicicleta;posse_bicicleta_eletrica;posse_patinete_eletrica;posse_motocicleta;posse_automovel;posse_nenhum_desses;motivo;migracao_modal;m_caminhada;m_app_taxi;m_automovel;m_onibus_local;m_onibus_corredor;m_metro_trem;m_nao;integracao;i_metro;i_trem;i_onibus;i_fretado;i_automovel;i_app_taxi;i_nao;acidente;a_caminhada;a_bicicleta_propria;a_bicicleta_compartilhada;a_patinete_compartilhada;a_motocicleta;a_automovel;a_transporte_coletivo;a_nao;calcadas_largas_planas;ciclovias_ciclofaixas;traffic_calming;respeito_motoristas;capacete
Y6157;BR;SAO PAULO;BICICLETA;01/04/2019 17:35;FEMININO;DE 02 A 03 SM;FORA - ZONA NORTE;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;2;3;4;5
Y6158;BR;SAO PAULO;PATINETE;01/04/2019 17:39;MASCULINO;DE 10 A 20 SM;DENTRO;1;0;0;0;1;0;COMPRAS;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;1;2;3;4
Y6159;BR;SAO PAULO;PATINETE;01/04/2019 17:42;FEMININO;DE 02 A 03 SM;FORA - ZONA LESTE;1;0;0;0;0;0;LAZER;NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;2;5;3;4
Y6160;BR;SAO PAULO;PATINETE;01/04/2019 18:06;FEMININO;DE 01 A 02 SM;FORA - ZONA OESTE;0;0;0;0;0;1;EDUCACAO;SIM;1;0;0;0;0;0;0; SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;3;2;4;1
Y6161;BR;SAO PAULO;BICICLETA;01/04/2019 18:08;MASCULINO;DE 10 A 20 SM;FORA - ZONA SUL;0;0;0;0;0;1;EDUCACAO;SIM;0;0;0;1;1;1;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;3;5;2;4
Y6162;BR;SAO PAULO;BICICLETA;01/04/2019 18:12;FEMININO;DE 10 A 20 SM;DENTRO;0;0;0;0;0;1;EDUCACAO;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;2;4;1;3;5
Y6163;BR;SAO PAULO;PATINETE;01/04/2019 18:12;MASCULINO;DE 02 A 03 SM;FORA - ZONA SUL;1;0;0;0;0;0;TRABALHO;SIM;0;1;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;2;5;3;4
Y6164;BR;SAO PAULO;PATINETE;01/04/2019 18:13;MASCULINO;MAIS DE 20 SM;FORA - ZONA SUL;1;0;0;0;1;0;TRABALHO;SIM;1;1;0;0;0;0;0; SIM;0;0;0;0;0;1;0; NAO;0;0;0;0;0;0;0;1;2;1;5;3;4
Y6165;BR;SAO PAULO;PATINETE;01/04/2019 18:16;FEMININO;DE 05 A 10 SM;FORA - ZONA SUL;1;0;0;0;1;0;LAZER;NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;5;1;2;3
Y6166;BR;SAO PAULO;BICICLETA;01/04/2019 18:20;MASCULINO;ATE 01 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;5;2;3;1
